Battery_Type,Brand,Problem,Repairable,Action
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹681
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹429
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹1014
NiMH,Amaron,Not Charging,Yes,Repair - Approx Cost ₹883
Li-ion,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Overheating,Yes,Repair - Approx Cost ₹838
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹462
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1448
Lead-Acid,Amaron,Not Charging,Yes,Repair - Approx Cost ₹964
Li-ion,LG,Overheating,Yes,Repair - Approx Cost ₹1307
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹847
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹799
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹794
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹636
NiMH,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1217
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1499
Lead-Acid,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹942
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹287
Li-ion,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹759
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Low Backup,Yes,Repair - Approx Cost ₹606
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1390
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹574
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹653
